gen-25th,gen-50th,gen-75th,enc-25th,enc-50th,enc-75th,dec-25th,dec-50th,dec-75th,sk ,pk,ct,sesk,System
31038354,31049127,31056957,33987501,34000083,34012242,34056099,34069428,34077762,31296,15632,15744,24,frodokem976shake
1737441,1768527,1814742,3377529,3396933,3483567,5414310,5441076,5715846,3165,3125,6234,64,hqc1281
4238505,4278564,4337280,8240031,8308629,8389548,12582873,12729150,12789027,5539,5499,10981,64,hqc1921
4477851,4555989,4635171,8666658,8795331,8946342,13149000,13384035,13395492,5924,5884,11749,64,hqc1922
6406875,6504984,6639120,12376053,12633966,12843774,18835965,19142253,19256544,8029,7989,15961,64,hqc2561
7701867,7758927,7821846,14990508,15063849,15159879,22726908,22943817,22965156,8543,8503,16985,64,hqc2562
7621002,7643637,7670529,16901091,16944831,16969923,24684030,24699384,24733584,8937,8897,17777,64,hqc2563
539532,543294,545490,709524,712485,716427,903717,905013,909405,1472,1184,1824,32,kindi256342
1455372,1466910,1496628,1737081,1743048,1751400,2037339,2043657,2048805,2304,1984,2752,64,kindi256522
568764,571275,574137,829719,833400,836595,1126431,1128636,1130697,1712,1456,2544,48,kindi512222
575262,577647,579933,835632,840123,843246,1127655,1130589,1135242,2112,1728,2752,64,kindi512241
1186722,1191987,1196784,1557243,1562589,1570347,1983969,1988001,1993797,2752,2368,3392,64,kindi512321
483147,483615,484074,575991,576342,576639,647901,648027,648360,3168,1568,1568,32,kyber1024
167049,167328,167724,231831,232092,232533,275742,276048,276219,1632,800,736,32,kyber512
306774,307233,307836,394947,395253,395451,450027,450126,450324,2400,1184,1088,32,kyber768
915327,917586,920043,1009377,1009971,1012293,1072935,1073484,1078263,3168,1568,1568,32,kyber90s1024
297540,297855,298233,370584,370836,371187,413289,413847,414432,1632,800,736,32,kyber90s512
566937,568566,570141,661815,662580,663795,713997,714825,715437,2400,1184,1088,32,kyber90s768
307953,310914,332100,572760,574110,586233,825138,843147,974655,1056,544,1024,32,lac128
1114308,1174635,1222074,1613943,1714194,1784619,2683314,2708379,2797065,2080,1056,1536,48,lac192
1062378,1171152,1196694,2141676,2293803,2348406,3256263,3340179,3379644,2080,1056,2048,64,lac256
174831354,174861927,174916008,1945935,1999476,2035548,12658743,12666960,12672999,50,2928,2952,32,ledakem1264
235382031,235446093,236225502,2689578,2728539,2786472,14860971,14898933,14950872,50,3536,3560,32,ledakem12sl
81415575,81446292,81478350,1288584,1288854,1289646,13422987,13431276,13534308,50,4032,2040,32,ledakem1364
103407246,104817303,106344369,1570311,1570734,1575189,16841142,16918425,17082324,50,4928,2488,32,ledakem13sl
67083300,67102020,67121127,968679,968976,969462,15425379,15466572,15474861,50,5040,1704,32,ledakem1464
91815696,91859112,94023495,1127448,1132110,1222398,18437220,18443583,18551133,50,6096,2056,32,ledakem14sl
